	Log2FoldChange	Up/Down	Position	Significant
6879	0.8768709270559205	up	chr11:100746412-100800854:-	yes
6880	-3.372978990324388	down	chr17:25480190-25482507:-	yes
6915	0.9056458585927022	up	chr17:48485726-48493472:+	yes
6918	1.082875534948075	up	chr11:95198332-95243186:+	yes
6936	2.1556704477149093	up	chr3:5177586-5220841:-	yes
6996	0.6755026439616982	up	chr1:194670625-194681946:-	yes
7000	-2.1239306368966364	down	chr16:44811846-44839263:+	yes
7003	4.896718421422621	up	chr18:37571328-37574168:+	yes
7020	-0.6668209509345111	down	chr17:35137932-35153267:+	yes
7056	-0.9847436754821548	down	chr12:107248473-107315620:+	yes
7062	-3.0205306435129327	down	chr12:79989678-80007951:-	yes
7068	1.1068759078202182	up	chr11:72115131-72127235:+	yes
7073	0.6331947475998807	up	chr6:136820957-136824326:-	yes
7085	2.975950956326607	up	chr10:84218807-84369283:+	yes
7094	0.8608549832297918	up	chr10:128370869-128395333:+	yes
7098	1.4488226261271202	up	chr10:84039371-84077104:+	yes
7102	-1.7760673422212925	down	chr12:25393106-25399011:+	yes
7110	-2.480688230681801	down	chr12:25778666-25780957:-	yes
7111	-0.631570270125009	down	chr11:69943831-69951052:+	yes
7155	-1.0443419036693975	down	chr16:91677513-91689010:-	yes
7168	-0.9165412856052436	down	chr19:12620230-12664258:+	yes
7204	0.7574475447588718	up	chr4:81936077-82351654:-	yes
7205	-1.237813637466782	down	chr4:24423598-24530097:+	yes
7212	-1.0547734124199983	down	chr9:106183392-106252852:+	yes
7221	2.4610180581640537	up	chr6:123179861-123197039:+	yes
7242	-1.019150581204693	down	chr15:76456432-76470388:-	yes
7295	-0.9610378395416452	down	chr2:156971629-157030270:-	yes
7304	-1.2350255050646484	down	chr14:66437875-66452831:-	yes
7305	2.474655659964002	up	chr14:66587320-66600385:+	yes
7309	-1.3062646536016211	down	chr14:66424674-66436659:+	yes
7317	-0.8029338650578032	down	chr10:7387301-7398679:+	yes
7325	-1.7663322930623329	down	chr7:121862157-121866879:+	yes
7344	1.1246402388193515	up	chr18:37637422-37642689:+	yes
7373	-1.38779744416332	down	chr8:35870351-35882948:+	yes
7382	0.6908540601937193	up	chr15:76287868-76289898:+	yes
7396	1.7431668888555896	up	chr11:108781663-108812097:+	yes
7414	2.699716797219951	up	chrX:132735487-132738415:-	yes
7415	5.108699052708958	up	chr2:31905575-31940377:-	yes
7433	-0.6018385177380149	down	chr12:52449048-52477973:+	yes
7438	1.6327243295869245	up	chr14:61839896-61877327:-	yes
7439	0.8287468485809337	up	chrX:166123129-166443668:+	yes
7481	-0.8098473201395332	down	chr16:4710059-4719356:-	yes
7494	0.6557612982749166	up	chr16:56805274-56886279:-	yes
7499	0.9224181553362388	up	chr2:24459407-24618672:-	yes
7534	0.8673880574663614	up	chr2:91096111-91104836:+	yes
7537	1.110457029227398	up	chr2:91297668-91354058:+	yes
7561	-1.163030198965819	down	chr12:92236932-92622849:-	yes
7583	-0.8894195620441004	down	chr2:32631306-32645691:+	yes
7585	inf	up	chr19:24748498-24754151:+	yes
7659	1.1172806485357514	up	chr2:120281755-120330649:+	yes
7674	5.451629641838207	up	chr14:33772733-33998694:-	yes
7740	-0.957382986474366	down	chr14:100269869-100549015:-	yes
7748	0.6058507221981878	up	chr15:93329545-93426322:-	yes
7758	-1.7280696688519783	down	chr6:52718791-53018625:-	yes
7760	1.6161165244510907	up	chr11:51103422-51397420:+	yes
7780	0.8760066846021975	up	chr9:108108286-108166255:-	yes
7789	1.5833607931856744	up	chr6:149088371-149099693:+	yes
7825	0.8315115675053325	up	chr11:6497826-6506056:-	yes
7832	-0.8178208169825649	down	chr4:149118145-149148386:-	yes
7880	-0.9764443818611616	down	chr2:130100166-130105049:+	yes
7918	-0.9306421724528392	down	chr5:152445331-152453817:-	yes
7937	-0.6466207691765842	down	chr1:90569700-90598796:-	yes
7945	0.7907959732242739	up	chr4:137869324-137882222:-	yes
7953	3.4638228821182024	up	chr2:26917156-26927699:-	yes
7955	inf	up	chr11:106226788-106238428:+	yes
7996	-0.9392008254690294	down	chr2:156819971-156820627:-	yes
8007	-2.544099098249589	down	chr7:73535778-73572403:-	yes
8010	-0.6944697150734029	down	chr17:95160590-95164201:-	yes
8020	0.6732066971236429	up	chr19:10282762-10315238:-	yes
8052	-1.8181709091204887	down	chr6:32094565-32538192:-	yes
8059	-1.0539304532878933	down	chr11:70030291-70034496:-	yes
8096	1.5846551585163202	up	chr6:125095259-125111800:+	yes
8103	-1.1376180817034074	down	chr18:34784278-34792919:+	yes
8113	3.902647771263124	up	chr1:137679642-137707566:+	yes
8136	0.6347923946245732	up	chr18:35758271-35776840:+	yes
8162	0.5947465827540184	up	chr19:7341815-7349715:+	yes
8181	-1.1373548368369109	down	chr7:86536815-86595151:+	yes
8183	-0.8452198531715068	down	chr19:29999604-30035208:+	yes
8184	-0.6357149041459269	down	chr19:24169013-24299444:-	yes
8211	0.6477054311331029	up	chr1:135971747-135975697:-	yes
8212	1.447161617965353	up	chrX:137599946-137908619:-	yes
8225	-1.195560998923829	down	chr9:61765087-61794606:-	yes
8251	1.0752608616578512	up	chrX:132606638-132619794:-	yes
8304	-0.6952160616605604	down	chr19:24335943-24355095:-	yes
8312	1.2280239549036047	up	chr6:66985090-66987451:-	yes
8348	-0.7642290510719295	down	chr3:29850221-30446930:-	yes
8349	0.6526246873761425	up	chr10:118296405-118305959:-	yes
8353	1.22549257697133	up	chr3:95330708-95360325:+	yes
8363	-1.037793801346208	down	chr11:48758856-48759692:-	yes
8370	-0.8956549390189661	down	chr13:13449890-13485891:-	yes
8384	2.1519787671076727	up	chr16:30269388-30283342:-	yes
8393	0.8370957658668656	up	chr6:94554523-94650152:-	yes
8403	1.8312797085435255	up	chr11:5869647-5966365:-	yes
8405	2.519262741201077	up	chr5:69907914-69933886:-	yes
8411	0.6954433450120646	up	chr17:46767574-46782104:-	yes
8456	4.677057131165417	up	chr7:19996443-20006932:+	yes
8529	-1.51276699152019	down	chr7:31817741-31827500:-	yes
8550	0.9521733633685908	up	chr2:93259268-93303297:-	yes
8561	0.7790812767096792	up	chr11:88152884-88579827:-	yes
8573	-0.5923136572126512	down	chr4:16049880-16090794:-	yes
8588	-1.0174687726007858	down	chr6:55286426-55298549:+	yes
8589	-0.9746258088919492	down	chr4:100449280-100701825:+	yes
8640	1.956104625006571	up	chr17:49595347-49703662:-	yes
8643	-0.6579668872558675	down	chr8:124320213-124353469:-	yes
8682	1.3236699093356197	up	chr18:37633200-37635994:+	yes
8683	1.873801724854024	up	chr7:149676979-149692676:-	yes
8694	0.8773777846604471	up	chr8:88016475-88051459:+	yes
8696	-1.0876284738573732	down	chr8:85689251-85796838:+	yes
8697	0.7714832519077988	up	chr8:86095599-86118390:-	yes
8703	1.066539846252622	up	chr7:149761434-149764048:-	yes
8710	-1.3686758291976977	down	chr6:112569844-112646680:-	yes
8728	-1.7227426563596868	down	chr16:93884146-93906360:+	yes
8739	0.650482190802258	up	chr16:93712152-93810830:+	yes
8746	-0.9253015933212776	down	chr1:166179177-166195516:+	yes
8786	0.6330721683562945	up	chr8:85836921-85856385:-	yes
8867	-4.028806602565329	down	chr9:102910817-102990179:+	yes
8868	-0.9904241256332008	down	chr3:107128863-107136591:-	yes
8884	1.9963842566495196	up	chr8:72839686-72855486:+	yes
8914	-0.7965007317536702	down	chr4:88556461-88556566:-	yes
8937	1.3624142643067343	up	chr12:112907566-112910549:-	yes
8938	-0.6170156219555406	down	chr11:86940579-87034185:+	yes
8942	0.8458778387888989	up	chr7:96780902-97002869:+	yes
8962	1.0861586292511258	up	chrMT:7927-8607:+	yes
9032	-0.590755602081431	down	chr4:56823807-56878060:-	yes
9040	3.38215266483876	up	chr1:36587379-36592584:-	yes
9065	2.442145782117773	up	chr2:166928878-167015655:-	yes
9071	-1.0956904860305816	down	chr2:17962303-17970678:-	yes
9093	-0.8838471178031138	down	chr13:81812842-81850012:-	yes
9145	-1.5671276351834178	down	chr4:14879392-15076941:-	yes
9159	0.8480263222649523	up	chr18:35893332-35900208:-	yes
9178	1.1977495797550606	up	chr11:73118494-73140309:-	yes
9240	-1.4170450853428709	down	chr19:6105782-6115792:+	yes
9276	1.536347193751472	up	chr19:30172939-30249908:-	yes
9308	1.26303303413336	up	chr19:38911069-38994413:+	yes
9339	-1.2494386201495642	down	chr12:117643875-117702004:+	yes
9341	-1.047928881966001	down	chr4:107040389-107088951:+	yes
9372	0.7338208146848376	up	chr12:113858258-113879565:+	yes
9432	-1.2883399567896583	down	chr8:123102533-123113204:-	yes
9450	-0.8392371306883903	down	chr5:141083295-141091497:+	yes
9452	0.7138739082253921	up	chr5:114881043-114894068:-	yes
9466	-1.1974062052675016	down	chr18:75527183-75555589:+	yes
9468	0.7876998104980919	up	chr19:46210175-46222865:-	yes
9473	0.6107907460598127	up	chr11:68022866-68214325:-	yes
9478	-0.6457254912710044	down	chr11:67668025-67735655:-	yes
9481	4.835260363280552	up	chr11:66891802-66915793:+	yes
9507	1.0460099867101698	up	chr10:93103426-93209952:+	yes
9522	0.9350458468173972	up	chr10:39341218-39451813:-	yes
9523	1.2057543538472741	up	chr9:50559177-50560459:-	yes
9552	3.4734899910939987	up	chr1:182095369-182129733:-	yes
9555	-1.1844856194337132	down	chr9:21559886-21564733:-	yes
9594	-0.5990499552039876	down	chr9:106335327-106340567:-	yes
9596	3.063937589920112	up	chr10:17516032-17565471:+	yes
9618	0.9906962243241274	up	chr7:52338283-52347591:-	yes
9621	5.157535370390064	up	chr13:12361693-12433027:-	yes
9634	-1.6036619327763402	down	chr19:5344705-5349574:-	yes
9657	-0.8204139657554465	down	chr2:80457393-80499063:+	yes
9658	1.998108848078633	up	chr1:74838090-74850753:+	yes
9664	-0.6537243406858195	down	chr11:26371322-26493999:-	yes
9688	3.4259941317402336	up	chr14:32336268-32404529:-	yes
9689	0.9407296961057898	up	chr6:112223752-112280419:+	yes
9731	0.6307699296143685	up	chr7:52690214-52711989:+	yes
9750	3.881264816131503	up	chr8:83866455-84648935:+	yes
9763	-0.9025675603230592	down	chr2:31526235-31536870:+	yes
9787	-0.8724972615402065	down	chr3:157557212-157588041:-	yes
9792	0.7878892639569705	up	chr4:134052612-134066150:+	yes
9810	-0.6958914895682689	down	chr9:26837760-26902896:+	yes
9837	2.047446425145448	up	chr12:89961320-91573375:+	yes
9864	1.0752332668118938	up	chr7:149646714-149680772:+	yes
9886	0.6754183927285127	up	chr14:122580916-122801454:+	yes
9919	0.7339296696767524	up	chr3:137728016-137744376:+	yes
9969	-0.6819978202541579	down	chr11:23156041-23198249:+	yes
9981	0.8836674301192137	up	chr17:56853355-56857122:-	yes
9985	0.969762180625154	up	chr17:31981193-31992737:-	yes
9986	1.2836815244745945	up	chr17:68192053-68353460:-	yes
9996	3.5197010198198244	up	chr17:71368861-71476196:+	yes
10021	1.570001007519403	up	chr15:81767189-81781371:+	yes
10067	1.1863957402958545	up	chr15:32850478-32964485:+	yes
10072	1.6817013231201527	up	chr7:16832092-16844889:-	yes
10075	-0.9270285626167604	down	chr10:11329021-11329633:+	yes
10120	-0.6632765387040082	down	chr1:95132418-95197642:+	yes
10144	-1.037520820375282	down	chr2:122141408-122173708:+	yes
10147	-0.688325595274456	down	chr14:76932621-76956665:-	yes
10153	-1.1362763862344567	down	chr7:25247519-25260892:+	yes
10169	1.3634612363767271	up	chr10:76992997-77028453:+	yes
10171	-1.7542630969433748	down	chr2:126419403-126445035:-	yes
10189	0.8905109071973204	up	chr3:151899950-151929284:-	yes
10193	1.2368665411213864	up	chr19:3935186-3949340:+	yes
10203	1.5525588624637316	up	chr4:136436044-136442102:-	yes
10207	0.587519842900726	up	chr11:118254065-118263406:-	yes
10217	-0.9584290766211162	down	chr18:56867467-56913078:+	yes
10270	1.1996085391560634	up	chr15:101241474-101260744:+	yes
10272	-1.0185052095633584	down	chr2:119435248-119444205:-	yes
10277	0.8123716033796345	up	chr15:101097277-101105223:+	yes
10331	2.617491456854856	up	chr4:85699819-86074289:+	yes
10355	2.5781102575603017	up	chr15:85365869-85412251:-	yes
10357	2.89225702480405	up	chr14:61582671-61665692:-	yes
10360	-1.3426601973027437	down	chr15:85690137-85707002:+	yes
10363	0.6850888469709944	up	chr15:76554415-76648600:-	yes
10364	1.1835642194848872	up	chr2:155316115-155343973:-	yes
10365	1.7163966145794507	up	chr2:155102033-155103809:+	yes
10366	1.2498915269628754	up	chr2:155343684-155411460:+	yes
10377	-1.24025868103634	down	chr14:99445646-99473756:+	yes
10380	0.9586497235923852	up	chr14:70184797-70212310:-	yes
10405	1.0600831607625347	up	chr4:106417160-106477603:-	yes
10416	-0.7688115495336983	down	chr1:182571498-182620816:+	yes
10445	1.1082189859465372	up	chr7:4935085-4947760:-	yes
10459	1.4954565605378307	up	chr19:10076159-10112870:+	yes
10464	-1.1902404833944789	down	chr19:9946787-9974023:-	yes
10508	-0.7130529229041512	down	chr19:6903575-6915115:-	yes
10538	1.0081014602424179	up	chrX:70728941-70741272:+	yes
10542	-2.9676290206754463	down	chr17:46434370-46440220:+	yes
10547	2.0448621280425265	up	chr6:35262746-35276141:-	yes
10579	0.7064435769803373	up	chr18:65739884-65849088:+	yes
10580	-1.5799723612160828	down	chr9:121398943-121404807:-	yes
10585	0.7164121859085499	up	chr19:34315580-34329826:-	yes
10641	0.8390440360841819	up	chr7:104100015-104213271:+	yes
10657	-1.0344956705182724	down	chr2:17265536-17653091:-	yes
10674	-1.1966984464769757	down	chr13:22094045-22101611:-	yes
10709	1.7323926221164565	up	chr11:67268939-67502492:+	yes
10719	-0.94288651660028	down	chr12:109544480-109566510:+	yes
10723	3.4516644428164973	up	chr7:135348950-135349880:-	yes
10724	-0.6349693946612827	down	chr4:48552807-48574791:+	yes
10739	-0.9183691901627202	down	chr19:59047848-59150559:-	yes
10746	1.811237083439284	up	chr8:97508503-97538090:+	yes
10755	0.8319770759747854	up	chr2:175918013-175930232:-	yes
10762	0.6229246654626969	up	chr1:174056886-174066624:+	yes
10799	1.6349824028378754	up	chr2:112471512-113057253:-	yes
10812	0.7810470251336934	up	chr3:38785862-38910907:+	yes
10820	-0.8587172724765686	down	chr3:132544709-132613255:-	yes
10822	1.907517353757194	up	chr12:8535289-8605872:-	yes
10840	-2.3643366161253323	down	chr11:100064476-100068862:-	yes
10844	2.392422342511397	up	chrX:7770974-7783651:-	yes
10879	0.945120212426596	up	chr4:149270392-149329152:-	yes
10883	2.819475479250971	up	chr19:6399340-6415216:+	yes
10901	-1.0256807328955986	down	chr7:134005486-134008891:+	yes
10949	1.8170487831343136	up	chr5:35994682-36022431:-	yes
10972	1.9442473708786367	up	chr1:20672850-20672968:+	yes
10995	-0.8595007553603621	down	chr2:56959241-56976414:-	yes
11002	0.9135850728024932	up	chr2:28368645-28408601:+	yes
11003	inf	up	chr2:57850295-57898271:+	yes
11023	1.6292528472473349	up	chr2:14151041-14253684:+	yes
11030	0.9985796186076824	up	chr12:106001324-106103286:-	yes
11100	0.959445599598574	up	chr9:49310257-49607027:-	yes
11102	2.122279095770412	up	chr1:137737452-137748837:+	yes
11123	-0.7869730224693324	down	chr7:56121799-56136966:-	yes
11156	1.7587134562925923	up	chr2:160394115-160445707:-	yes
11172	3.580562849814291	up	chr7:52590660-52594343:+	yes
11175	-0.6133673817330794	down	chr3:100742783-100773586:-	yes
11197	2.925380309941116	up	chr1:136186581-136189124:+	yes
11198	2.5870757015214085	up	chr1:136193360-136229505:-	yes
11203	-1.1873416187477648	down	chr8:23278624-23296291:-	yes
11243	-1.040193754570686	down	chr19:37507377-37515218:+	yes
11248	-1.58079131268524	down	chrX:45378323-45388030:-	yes
11254	inf	up	chr3:53317861-53461277:-	yes
11268	-1.622959169959413	down	chr3:51464282-51486597:+	yes
11272	-0.9797773395428302	down	chr7:38883003-38892553:-	yes
11292	-0.6297254251747463	down	chr11:51412372-51420349:-	yes
11335	-1.0866674064129145	down	chr2:4941688-4985097:-	yes
11339	1.8147324988473037	up	chr5:134695923-134705495:-	yes
11347	-1.0264848990208526	down	chr10:88871568-88906712:-	yes
11377	-0.591848347401739	down	chr3:93359002-93368565:+	yes
11378	-1.5241507416445452	down	chr17:35649679-35653769:-	yes
11411	2.6471107120804453	up	chr6:7947808-8142617:-	yes
11434	1.2439100955756122	up	chr17:12934177-13052988:+	yes
11435	3.2334708490697315	up	chr7:91081367-91235012:-	yes
11444	-0.619578230839902	down	chr1:158488917-158579699:+	yes
11460	0.7258929591352277	up	chr19:5495278-5510489:-	yes
11479	1.6738574240157236	up	chr6:97236861-97567535:-	yes
11533	0.900424432939129	up	chrX:68463942-68568866:+	yes
11540	2.8372245319390412	up	chr4:118848062-118862616:-	yes
11554	0.7168366050230377	up	chr17:25716119-25799771:+	yes
11574	-0.8233220570904675	down	chr14:51563977-51573087:+	yes
11577	inf	up	chr2:113880071-113890604:+	yes
11587	-0.7017674538838041	down	chr4:62183683-62186102:-	yes
11605	-1.079104614747216	down	chr9:107490049-107495369:+	yes
11613	2.067285611707838	up	chr1:173180552-173190768:+	yes
11615	-1.7165137042230665	down	chr14:63665828-63676986:+	yes
11647	-0.7605982966845801	down	chr1:93698038-93744605:+	yes
11674	0.7751651300531637	up	chr17:85462817-85489607:-	yes
11679	-1.3888828191099816	down	chr10:38853829-38870864:+	yes
11692	-0.6855701241505083	down	chr4:57956245-57969283:-	yes
11699	-0.6202292903054893	down	chr19:46150353-46160018:+	yes
11723	-0.7586544077622084	down	chr14:56403833-56407694:-	yes
11726	-2.977292976274754	down	chr14:56560290-56563498:-	yes
11728	-2.3286493656222453	down	chr14:56636801-56639228:+	yes
11729	1.4323543999881718	up	chr4:42962686-42972297:+	yes
11740	1.3030228907997217	up	chr8:32222292-32241954:+	yes
11754	-0.8450846513905982	down	chr7:30088970-30102607:+	yes
11794	0.7415915539164051	up	chr2:118102846-118199155:-	yes
11799	1.6095671531707452	up	chr17:32257765-32303825:-	yes
11825	-1.288043830040191	down	chr7:138697576-138700096:+	yes
11829	1.286558966438597	up	chr8:124948672-124956840:-	yes
11838	1.0722349997055485	up	chr8:124957496-124967322:-	yes
11851	1.993564424723535	up	chr8:46970839-47004900:+	yes
11867	-1.2345276712387572	down	chr6:115790715-115803389:-	yes
11905	1.1508461027476034	up	chr6:101099601-101327891:-	yes
11940	0.6357869722042554	up	chr9:90057816-90102909:+	yes
11941	1.877540168880809	up	chr9:77484539-77507925:+	yes
11942	0.8152276897916436	up	chr9:66870397-66897213:-	yes
11966	1.045837025893152	up	chr9:38525853-38550922:+	yes
11985	3.679048252932248	up	chr15:76845919-76881100:-	yes
11993	0.6621372676128415	up	chr11:53583516-53591876:+	yes
12036	-1.5239974540233252	down	chr1:75243616-75260783:-	yes
12084	-0.635008680515594	down	chr19:41003417-41069025:-	yes
12092	-0.9802680916195085	down	chr10:117578843-117606053:+	yes
12101	4.044742697596677	up	chr10:120471016-120537706:+	yes
12122	-0.8652094125170623	down	chr1:33908897-33964661:-	yes
12156	-0.8409551582639169	down	chr1:14159035-14300281:-	yes
12158	0.6552342588902318	up	chr1:16559863-16609570:-	yes
12166	0.9143537914230292	up	chr11:115209021-115229070:-	yes
12198	-2.9520910076775357	down	chr14:63174574-63227323:+	yes
12294	-0.6342675230929249	down	chr3:88887903-88897285:-	yes
12295	-3.052110713323418	down	chr4:8070514-8166188:-	yes
12308	0.6118257946402956	up	chrX:45525146-45562055:-	yes
12321	-0.9778361996788258	down	chr14:47773570-47809088:-	yes
12355	-1.614423173326838	down	chr12:120084802-120091051:+	yes
12366	1.6956426792612715	up	chr1:134942244-135005264:+	yes
12395	1.558071859593417	up	chr17:13012685-13013708:-	yes
12400	-1.078054099744174	down	chr9:20711650-20757317:-	yes
12401	2.1972632784489483	up	chr9:20574494-20619511:-	yes
12408	0.6499345424066243	up	chr17:43804374-43888380:+	yes
12424	-0.9903521636415916	down	chr10:23506276-23506349:-	yes
12456	1.1650087491588277	up	chr6:36665663-36761361:-	yes
12465	0.6388234418957516	up	chr6:37277255-37392146:-	yes
12490	-1.0631959453437094	down	chr3:123210855-123210984:-	yes
12492	-1.0620998122874814	down	chr5:44304412-44304945:+	yes
12500	0.7598336453270775	up	chr2:163449008-163470867:-	yes
12519	-0.9413891860823363	down	chr5:144670833-144698178:+	yes
12543	-1.0840016243952693	down	chr4:124595709-124616555:-	yes
12544	1.529449611113349	up	chr1:137007746-137008883:-	yes
12567	0.7833977269235829	up	chr11:69597538-69609445:-	yes
12585	2.570296371970195	up	chr10:32803289-33196515:+	yes
12601	-0.8779435113747026	down	chr19:47929460-47939280:+	yes
12614	-1.0886874412156602	down	chr2:163552320-163575975:-	yes
12619	0.7941743375724275	up	chr7:50663574-50673728:+	yes
12652	2.2604096934133118	up	chr6:120616387-120721208:+	yes
12653	-1.2246231940187933	down	chr19:34996848-35050221:+	yes
12655	2.2582879228770936	up	chr4:151490043-151494228:+	yes
12657	1.1122370671977468	up	chr3:142257811-142282143:+	yes
12665	1.1231976030439377	up	chr19:6062821-6068373:-	yes
12673	-0.9099213440402266	down	chr6:56651057-56654686:-	yes
12684	-0.5973808031745854	down	chr7:91677485-91726847:+	yes
12687	1.574515997186233	up	chr11:83401384-83406589:-	yes
12698	-2.439402633067605	down	chr16:38901584-39027272:+	yes
12701	1.025839817267365	up	chr16:38742377-38769162:+	yes
12709	1.5445199403894772	up	chr2:84605544-84615601:-	yes
12716	1.246811334764741	up	chr3:90189161-90193860:-	yes
12741	0.8093079897574192	up	chr17:15941626-15963550:-	yes
12743	5.3872136240822055	up	chr7:53651867-53693745:+	yes
12754	-0.7451129397690538	down	chr3:83891856-83959708:-	yes
12760	-1.083468209090317	down	chr6:5433351-5446309:-	yes
12798	-1.0382245850261052	down	chr14:55160622-55173198:-	yes
12842	inf	up	chr11:78312593-78315826:+	yes
12847	0.8419236591123296	up	chr4:49597378-49610748:-	yes
12851	0.9971903945975648	up	chr7:107791406-107810928:-	yes
12861	-0.6733043637882019	down	chr7:147181854-147222289:-	yes
12865	-1.2770074154007829	down	chr7:147164831-147178461:-	yes
12868	-1.22293073429259	down	chr11:60601606-60625220:-	yes
12884	0.6017796870073496	up	chr1:136651235-136852519:-	yes
12922	-0.6361568831566992	down	chr11:83286588-83320245:+	yes
12923	0.9282716785923024	up	chr11:105829259-105851278:+	yes
12929	1.2477138098370897	up	chr7:58766399-58854079:+	yes
12930	1.8221098388887185	up	chr3:89324086-89471683:+	yes
12933	-0.7658192736823126	down	chr8:73332348-73345323:+	yes
12934	1.3025588170453104	up	chr13:55254001-55270120:+	yes
12942	3.4897985002400613	up	chr6:90258345-90275179:-	yes
12952	0.7815565275179027	up	chr9:58338044-58347494:+	yes
12970	2.046904046094144	up	chr16:85858415-85901370:-	yes
12973	-1.1726950248134982	down	chr10:127669119-127689997:+	yes
12979	-0.8840498852231061	down	chr2:90517372-90576485:+	yes
12994	0.9655356128446579	up	chr1:16987545-17087879:-	yes
13013	-1.301533242824408	down	chr4:35653896-36898780:-	yes
13036	1.7194386120194274	up	chr16:31296278-31314894:-	yes
13078	0.7178102312398517	up	chr10:75994333-76019883:+	yes
13096	0.7439886539196496	up	chr11:102465745-102469372:+	yes
13115	1.0163279679640025	up	chr18:37673306-37677967:+	yes
13131	-1.639378405961029	down	chr8:72346328-72355001:+	yes
13143	-1.236038496737584	down	chr7:100006039-100022743:-	yes
13145	-0.6569128857325226	down	chr10:79317172-79327516:+	yes
13154	-0.7687683736789163	down	chr12:4196004-4234294:-	yes
13164	0.7220939946471873	up	chrX:147240913-147248888:-	yes
13166	3.659583429824631	up	chr2:66511482-66622971:-	yes
13176	0.5983293688620209	up	chr12:66043427-66066523:-	yes
13206	0.7208766338102395	up	chr17:83614623-83624410:+	yes
13219	2.6980109723869274	up	chrX:139720217-139828805:-	yes
13224	1.0335496387456409	up	chrX:139953134-140232335:+	yes
13225	inf	up	chrX:140290385-140367854:-	yes
13228	1.8759603398836824	up	chr15:75577273-75578352:-	yes
13236	0.9190195507156648	up	chr1:91351381-91791857:+	yes
13262	1.3937686774981988	up	chr2:125498831-125500521:+	yes
13288	-0.5947919879673524	down	chr1:99540480-99558651:-	yes
13292	0.8798542097625103	up	chr5:104290992-104340278:-	yes
13301	0.8500039362177149	up	chr7:31076691-31093386:+	yes
13315	-1.1572391187243072	down	chr2:118872855-118931237:+	yes
13319	-1.6815740735562124	down	chr2:118938529-118973181:+	yes
13346	1.2874688076876861	up	chr4:41604529-41644121:-	yes
13347	0.7972446883161399	up	chr4:41585177-41587357:-	yes
13415	1.1058540232120393	up	chr8:105156895-105309011:-	yes
13423	1.3621296966324183	up	chr4:118867911-118873903:+	yes
13448	0.6160843746539127	up	chr15:66722882-66754763:+	yes
13502	-0.9078379550075848	down	chr17:35118807-35122836:+	yes
13531	-0.9747780045909228	down	chr3:116581145-116606668:+	yes
13557	0.9545491624023472	up	chr10:60659860-60736186:-	yes
13586	2.0985665866663727	up	chr4:133912287-133939765:-	yes
13588	2.2272848414495687	up	chr1:152410657-152840565:-	yes
13590	-0.7568320253454469	down	chr4:126420994-126430682:-	yes
13591	-0.7279995472270675	down	chr4:134024235-134029758:+	yes
13595	3.3151019993785535	up	chr4:133871035-133885544:+	yes
13599	1.7679037607818116	up	chr1:194681122-194682660:+	yes
13635	-1.5442997621597343	down	chr19:5447703-5455945:+	yes
13653	0.7279576066861688	up	chr13:73955982-73985079:-	yes
13654	3.15715703038735	up	chr13:73817193-73842313:-	yes
13663	0.8917106374178786	up	chr11:97193423-97213391:-	yes
13690	-4.478705674615306	down	chr9:78078463-78090491:+	yes
13692	-5.290116813741657	down	chr9:78104949-78116973:+	yes
13695	-1.0866103795737756	down	chr15:98493852-98507892:-	yes
13730	-0.7562570101569721	down	chr17:29387748-29401103:-	yes
13796	-0.8413664216932081	down	chr9:96843901-96919262:-	yes
13830	2.368803241119168	up	chr1:135142674-135200012:+	yes
13844	1.1052838254855069	up	chr19:37095781-37283091:-	yes
13863	0.7101314235250739	up	chr7:52348363-52359192:-	yes
13869	0.7703812711602804	up	chr7:52273348-52277016:+	yes
13874	2.4969735626970144	up	chr7:132746943-132777084:+	yes
13919	3.551145761609805	up	chr18:61959049-62071506:-	yes
13927	1.6492440925411744	up	chr12:36741144-36769087:-	yes
13938	0.6398371232247263	up	chr3:80840338-81017962:+	yes
13939	-0.7302748658203014	down	chr3:132644717-132754997:-	yes
13942	0.7680781249222489	up	chr3:81736523-81760647:+	yes
13947	-0.6015839544451933	down	chr3:129527830-129534314:-	yes
13965	1.0172625315466859	up	chr9:94570328-95130864:+	yes
13969	1.5555342000379002	up	chr4:151648341-151659446:+	yes
13976	0.6488318315881034	up	chr15:8584124-8660764:-	yes
14018	-0.7812258909059655	down	chr7:36182054-36223708:+	yes
14069	3.331605539980023	up	chr4:154296319-154302672:-	yes
14082	0.5850498692650271	up	chr7:104230261-104457450:+	yes
14098	-1.083006347523114	down	chr9:109778083-109796392:+	yes
14133	-0.5865378975785257	down	chr1:71603724-71626205:+	yes
14137	-1.64091594288929	down	chr1:71074072-71149720:-	yes
14140	-0.5891125892056558	down	chr1:75168291-75176966:-	yes
14149	-1.0738509324880474	down	chr11:72948987-72951796:-	yes
14150	1.124484957100098	up	chr11:98698099-98715011:+	yes
14176	-1.4255930591440358	down	chr1:193645323-193656929:+	yes
14185	0.7455229547993226	up	chr8:94322424-94325966:-	yes
14255	0.7426099884797842	up	chr18:58038332-58106475:+	yes
14281	1.7779214945559243	up	chr1:183834576-183950111:-	yes
14296	-0.6559533358887003	down	chr10:88209352-88289559:-	yes
14306	0.5900911036192783	up	chr9:54546680-54564122:+	yes
14309	-1.846744252322436	down	chr9:54452684-54509677:-	yes
14314	0.6526130897178947	up	chr9:59814738-60369853:-	yes
